,Time,Day_mean
121,2018-01-01 20:10:00,10374.520552
122,2018-01-01 20:20:00,10355.334917292312
123,2018-01-01 20:30:00,10337.65874953846
124,2018-01-01 20:40:00,10319.023332230772
125,2018-01-01 20:50:00,10297.245577630769
126,2018-01-01 21:00:00,10272.251832999998
127,2018-01-01 21:10:00,10243.429288307696
128,2018-01-01 21:20:00,10212.316626661535
129,2018-01-01 21:30:00,10174.37251693846
130,2018-01-01 21:40:00,10139.996745323075
131,2018-01-01 21:50:00,10103.475315569232
132,2018-01-01 22:00:00,10065.482271876923
133,2018-01-01 22:10:00,7828.519553323078
134,2018-01-01 22:20:00,8048.484522723078
135,2018-01-01 22:30:00,8174.1603466000015
136,2018-01-01 22:40:00,8242.551630369231
137,2018-01-01 22:50:00,8321.016266476921
138,2018-01-01 23:00:00,8383.072399230772
139,2018-01-01 23:10:00,8082.550161907695
140,2018-01-01 23:20:00,8124.104249923078
141,2018-01-01 23:30:00,8154.135174138459
142,2018-01-01 23:40:00,8180.092737923077
143,2018-01-01 23:50:00,8193.47565866154
